"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","test_dynamic_cases[data5]","tests","Thu Dec 05 01:40:00 GMT 2024","passed","Thu Dec 05 01:40:00 GMT 2024","","test_ui","",""
"","441","test_dynamic_cases[data0]","tests","Thu Dec 05 01:39:58 GMT 2024","passed","Thu Dec 05 01:39:59 GMT 2024","","test_ui","",""
"","264","test_dynamic_cases[data1]","tests","Thu Dec 05 01:39:59 GMT 2024","passed","Thu Dec 05 01:39:59 GMT 2024","","test_ui","",""
"","281","test_dynamic_cases[data4]","tests","Thu Dec 05 01:40:00 GMT 2024","passed","Thu Dec 05 01:40:00 GMT 2024","","test_ui","",""
"","264","test_dynamic_cases[data2]","tests","Thu Dec 05 01:39:59 GMT 2024","passed","Thu Dec 05 01:39:59 GMT 2024","","test_ui","",""
"","281","test_dynamic_cases[data3]","tests","Thu Dec 05 01:39:59 GMT 2024","passed","Thu Dec 05 01:40:00 GMT 2024","","test_ui","",""
